time,node_0_x,node_0_y,node_0_z,node_1_x,node_1_y,node_1_z,node_2_x,node_2_y,node_2_z,node_3_x,node_3_y,node_3_z,node_4_x,node_4_y,node_4_z,node_5_x,node_5_y,node_5_z,node_6_x,node_6_y,node_6_z,node_7_x,node_7_y,node_7_z,node_8_x,node_8_y,node_8_z,node_9_x,node_9_y,node_9_z,node_10_x,node_10_y,node_10_z,node_11_x,node_11_y,node_11_z,node_12_x,node_12_y,node_12_z,node_13_x,node_13_y,node_13_z,node_14_x,node_14_y,node_14_z,node_15_x,node_15_y,node_15_z,node_16_x,node_16_y,node_16_z,node_17_x,node_17_y,node_17_z,node_18_x,node_18_y,node_18_z,node_19_x,node_19_y,node_19_z
0.0,6.1723290866420866e-18,8.881140451961339e-18,-1.8876129229562083e-18,0.023018454288174287,2.6599657725252935e-05,-4.356393132571858e-06,0.04599088837672024,-0.00022243584155855924,-0.0013482126178038466,0.06890611863251056,-0.0006489917625841949,-0.0034064014970405405,0.09173666803838605,-0.0012680470339065022,-0.006197481307977634,0.11445140248998142,-0.002084839900457868,-0.009750482821387395,0.13701511693143772,-0.003089926275356475,-0.014100252260488692,0.159388722124725,-0.004268319621307853,-0.01928024516275374,0.1815313968586965,-0.0056313223608888,-0.02530618134167639,0.2034045540261254,-0.007253227455484286,-0.032156585225068084,0.22497326534366394,-0.00926691653063876,-0.039772192265001505,0.24620189759170624,-0.011785016024532578,-0.04809095352966305,0.2670491873435084,-0.014777468540153854,-0.05710249241781447,0.28746990034584824,-0.017997528333703876,-0.06687344334230227,0.3074245305733066,-0.021035610329566932,-0.07750419428087646,0.3269007592603554,-0.023490542936627137,-0.08903538860694196,0.3459470555954039,-0.025154010446670042,-0.10137487750798992,0.3646932745640361,-0.02608833364282291,-0.11430122508966468,0.3833240680877694,-0.026556533653489287,-0.12753707728036692,0.40200752842567083,-0.026866549662376376,-0.14084726718142662
0.01,1.1812721482408473e-17,1.0881196998665556e-18,-5.648015692291675e-17,0.023034796282960724,3.6760321630245253e-06,-0.00016562258236337734,0.04599334635234056,-0.0002307096884592965,-0.001978123014443393,0.06887684787030175,-0.0005854451578191755,-0.00451773346741746,0.09166222820886717,-0.0010703204290832924,-0.007738831424148747,0.1143240608050446,-0.0017217408707555545,-0.011626667395997242,0.1368323549524128,-0.002604909752601028,-0.016184747984618886,0.15915059562967154,-0.003808717001839073,-0.021427467606672388,0.18123386965525187,-0.005439849540358913,-0.02737516684158094,0.20302887517139603,-0.007608781158840106,-0.03404832415650908,0.22447994607302232,-0.010380994668131027,-0.041464681148591136,0.24554470801760042,-0.013680549688327801,-0.049645120569746445,0.2662120042024545,-0.017190379380751044,-0.058621373393043796,0.28650040196637716,-0.020341944754540365,-0.0684232247550499,0.3064306243152878,-0.02246084647124089,-0.07903439650391304,0.32600938755432984,-0.023031130585974422,-0.09034857784548776,0.3452628250815993,-0.021931343534477205,-0.10217631011263004,0.3642870686901172,-0.019485987774018068,-0.11430676073552198,0.3832438544542429,-0.016298664616008405,-0.12657338962203693,0.4022884709055484,-0.012972626184400364,-0.13888543028099437
0.02,6.409498311873291e-18,3.015776105404211e-17,-1.157385819128276e-16,0.023017353454339883,9.508409619302274e-05,-0.0003432158007404182,0.045923247185022165,9.691207176667184e-05,-0.002716486530039519,0.06872937502293161,-2.534973615014499e-05,-0.005846095916000072,0.09142096412367078,-0.0003688139167550224,-0.009595604103320044,0.11397983659045324,-0.001069460927900815,-0.013889521085698332,0.1363770876689933,-0.00227221239997665,-0.018708006154614026,0.1585714477532883,-0.0040892914227794955,-0.024077500079530446,0.18051408386157888,-0.00656607244757337,-0.030056731436501248,0.20215894845461518,-0.009657846676023936,-0.036718929123780365,0.22347763894040154,-0.013197756398295452,-0.04413385606441008,0.24447379541603098,-0.016843168960033444,-0.05235167696110997,0.26518021199262304,-0.020034499563106774,-0.061383322052503304,0.2856218573958288,-0.022042430053399734,-0.07117070720445964,0.3057668003243248,-0.02215621547429596,-0.08156058199535718,0.32553105964096724,-0.019961066849530116,-0.09232183121707957,0.34486596111097645,-0.015541288244309994,-0.10322493120110932,0.3638501337107311,-0.009461424041775144,-0.11413244276817211,0.3826825912710685,-0.0025324334351174353,-0.1250252140096262,0.4015770970507193,0.004503358318040981,-0.135954932787403
0.03,-1.2561498607781274e-17,1.1197097936344047e-16,-1.6853922771287166e-16,0.022960709995310136,0.00033881647447309116,-0.0005000865803503068,0.045782749063902436,0.0006411837099439316,-0.0034051813315014675,0.06848407736230828,0.0006225560786722858,-0.007112560322908904,0.09105462217934482,8.400543231174606e-05,-0.011419120362142685,0.11347513946997319,-0.0011496317849057425,-0.016210363811407728,0.1357136307367734,-0.0031803072569911196,-0.021451018181215344,0.15773531618053163,-0.005990819531268173,-0.02716848690649881,0.17951792445949494,-0.009426232053877175,-0.03343198357978842,0.2010614068431421,-0.013204374101281915,-0.04032883862970338,0.2223873957652098,-0.01692806753877659,-0.047937756810572316,0.24352708541092086,-0.020075307373433746,-0.05629679091597228,0.26449049450990103,-0.02199151146107065,-0.06536471427939045,0.2852175210147357,-0.021955722558587056,-0.07498600754540376,0.305550779551769,-0.019370517470265615,-0.08489205176361868,0.3252946525900881,-0.014012724735284069,-0.09477464320313689,0.3443562220018247,-0.006177356380146041,-0.10441409277732719,0.3628511998194077,0.003404622921597206,-0.11377203176317846,0.3810658954374595,0.01382736575340499,-0.12297234983821127,0.3993029197547307,0.024313175712375425,-0.132191575873344
0.04,-2.3229031545501932e-17,1.7105999776390046e-16,-2.0317948712378353e-16,0.022930466447159785,0.0005099781834070404,-0.0006039338452889275,0.045690300383667816,0.000730027323149097,-0.003971187436754841,0.06830024939906663,0.00034387170421818457,-0.00823804881980417,0.09074559933509668,-0.0008600947807186083,-0.013156252322539872,0.11300661240308614,-0.0029862536796253685,-0.018576350208991337,0.13506594789324572,-0.005989846077689507,-0.02443563423501309,0.15692580217827382,-0.009657245564875048,-0.030738556632075226,0.17861660002007293,-0.013623135336582588,-0.03753308246622744,0.20018608002621927,-0.01741615896270914,-0.044883968908663,0.22167337321623992,-0.020500334328524286,-0.05284039463611804,0.24307740184585638,-0.02228746285627995,-0.06139402034163176,0.2643206350172433,-0.02214414227881144,-0.07043125817998164,0.28521630725232616,-0.019461877765815323,-0.07970380482392656,0.3054818056222136,-0.013830191880452654,-0.08886062969623389,0.3248474389639627,-0.0052394671594883525,-0.09756561617300039,0.343225314015362,0.005841948052144193,-0.1056504978582257,0.36080338379656873,0.018595227562218323,-0.11319244974907529,0.3779687158491249,0.0321067520433907,-0.12045164892227565,0.3951121690187994,0.04563057621092811,-0.12771455051801991
0.05,3.409731129172186e-18,1.356336917779366e-16,-2.3253426094382856e-16,0.023012552868095407,0.0003989998231112084,-0.0006930563258077171,0.045778018253547985,-0.00012765228183292382,-0.00449828146264941,0.06833616413061323,-0.0014714569026333239,-0.009337466292656254,0.09067117242654953,-0.0037221100066328573,-0.014930736237542888,0.11278444566148127,-0.0068298698966549175,-0.021096195279844823,0.13470192919807883,-0.010580499743491744,-0.0277362115450916,0.15647948124963237,-0.01459840851885186,-0.03481481948015946,0.17819024526137742,-0.01838395645678837,-0.04233111356603821,0.19989210227503176,-0.021373917129920976,-0.05029166623334621,0.2215892432375757,-0.022995297778356478,-0.058679278890259375,0.2432009498078708,-0.022689506223884392,-0.06741227544061312,0.26453864593875615,-0.01992694682297425,-0.0762996397320169,0.2852998661671249,-0.014271698385450697,-0.08502340461312992,0.3051181992775014,-0.005524615418154146,-0.0931953029261343,0.32370209954466617,0.0061303699899421275,-0.10049933644786939,0.34100725028677487,0.020108112977900636,-0.106848245751428,0.3573064953509799,0.035572564078763504,-0.11243750979689374,0.3730799410390376,0.051665354532795214,-0.11764755217023234,0.3887922070160085,0.0677153926417942,-0.12285483292336918
0.06,8.613986260397333e-17,-6.8431791808674924e-18,-2.7302921208616215e-16,0.0232623543893549,-2.8985697850586496e-05,-0.0008158254262182609,0.04610339660077461,-0.0018885753404262553,-0.005090743262936238,0.06865016768968914,-0.004626309277943654,-0.010547793154332427,0.09091074447035144,-0.008100773354558066,-0.016884110972584535,0.11293445239518764,-0.012069621331109275,-0.023888832711781223,0.13480138449506768,-0.016172866936767838,-0.0314246268574925,0.15660557894346847,-0.01993963449263891,-0.039400050338532236,0.17842384745357248,-0.022824728065725025,-0.04774122565491975,0.20027573667287432,-0.02426823266720485,-0.056368917567121646,0.22209086858083532,-0.023751510025568315,-0.0651773757145692,0.24369310682137502,-0.020824766067257795,-0.07400448321794922,0.2647979156513944,-0.01512022552516622,-0.08259587171995475,0.2850295833974018,-0.006401942940350596,-0.0905974813999113,0.303993142920646,0.0053272453167176395,-0.09762541869852634,0.3214220997025062,0.019732019948464716,-0.10341641277919594,0.3373378821297332,0.03616916166535403,-0.10797555469862488,0.3520937018114632,0.053841256170578354,-0.11160691152004225,0.36624237326835934,0.07198689103019104,-0.11479050386617969,0.38030046229915027,0.09003473261522577,-0.11797332263724508
0.07,2.2321012226045323e-16,-2.186564731360141e-16,-3.353437319497665e-16,0.02367406265775947,-0.0006615421509980556,-0.00100364375939712,0.046636787173435425,-0.004088581300393058,-0.005819080693828891,0.06920878414789122,-0.008316567594650626,-0.011960602525447214,0.0914518590914824,-0.01293243680085563,-0.019105401792382494,0.11347294562152169,-0.01750157900407658,-0.027013686366329153,0.135389572824059,-0.021548814231708874,-0.03550211441025154,0.15729680493977535,-0.02455793323092564,-0.044411320302452865,0.17923124605174612,-0.025999968486068097,-0.05357955271099727,0.2011391648867124,-0.02538625330923437,-0.06283041031744906,0.22286192996320198,-0.022319071739832188,-0.07196811667721517,0.24414104130526892,-0.016511972193188337,-0.08076261564957989,0.26463312646184073,-0.0077905105150271985,-0.08892213576002075,0.28394014115027266,0.0038797872168375297,-0.096089558259825,0.3016876501149145,0.018321634382924563,-0.10191444154824218,0.3176659718237749,0.035094013790929364,-0.10620062453878619,0.3319690301490469,0.05354280822507476,-0.10904142943724038,0.34501586275097784,0.0729450830198448,-0.11083188925075821,0.35740729598244503,0.09265773857593393,-0.11212973033637104,0.36968899812647155,0.11221907219986904,-0.11343473817140001
0.08,3.9042120231203015e-16,-4.3763820692377386e-16,-4.211583339019942e-16,0.02417485168539128,-0.0013141321411565177,-0.0012614887414070005,0.04728608379420416,-0.006108197170582671,-0.006701097969084137,0.06992250601474459,-0.011538279136279922,-0.013592387170424457,0.09221007539023446,-0.016951452959364764,-0.021589057260860942,0.11430065119886026,-0.021750928296531063,-0.03041913999370983,0.13631901860997686,-0.02537221197172989,-0.03984826818867487,0.15832543842929403,-0.027278403256758985,-0.04964406405736162,0.1802874353984216,-0.02698436757086868,-0.05955547444180319,0.202065700817711,-0.024103841280755225,-0.06931488300549181,0.22342200925891478,-0.018389471077732332,-0.07865165089434537,0.2440434999832546,-0.00973702559086283,-0.08729093669626986,0.2635684937942401,0.0018337178099483442,-0.09493036049447817,0.28161944665516764,0.01617475478276515,-0.10123354618172041,0.2978763606100779,0.03296794363023619,-0.10589721868509316,0.31220283429772994,0.05170360568215981,-0.10879170852111714,0.3247623947607964,0.07174553084357758,-0.11008511956111484,0.3360227131393833,0.0924603225058884,-0.11024337376126737,0.34660976572357255,0.11332679143593744,-0.10988207126595576,0.3570784747377509,0.13399075419699233,-0.10953932761081883
0.09,5.503952328622663e-16,-6.000516923621024e-16,-5.209049337706606e-16,0.02465332376690624,-0.0017970004872498503,-0.0015604058111812248,0.047925567586411616,-0.007406596869725482,-0.007683246924706479,0.0706603688789048,-0.013451013966559306,-0.015359551945500427,0.09303060318609678,-0.019115224254469456,-0.024209575135392944,0.1152074021381923,-0.023690528066903575,-0.033924192443793494,0.13729715728657163,-0.02655010304773843,-0.044217702146059634,0.15930687602955204,-0.02714782886620703,-0.05478999523878372,0.18112870256439,-0.025045379146633923,-0.0653125455550105,0.20254548043528264,-0.019956596249837987,-0.07544465655774797,0.2232596130122008,-0.011776058455381516,-0.08486310898834758,0.24293227207835977,-0.00056472622970372,-0.09327094917115246,0.26121426505145745,0.013489867621889237,-0.10037397357861275,0.2777756167652719,0.03009048467074492,-0.10586761018348463,0.29236857672475436,0.048811842647842135,-0.10949654933980175,0.30493535065223015,0.06910169640756021,-0.11118822699565396,0.31570252197889187,0.09035444111158386,-0.11116931422276399,0.32517183008226064,0.11202555455546287,-0.10995856085870348,0.33397701632686166,0.13370699748078185,-0.1082136437526045,0.3426674011156924,0.1551420634718246,-0.10650011247256833
