time_ns,time_s,msg_stamp_ns,frame_id,node_0_x,node_0_y,node_0_z,node_1_x,node_1_y,node_1_z,node_2_x,node_2_y,node_2_z,node_3_x,node_3_y,node_3_z,node_4_x,node_4_y,node_4_z,node_5_x,node_5_y,node_5_z,node_6_x,node_6_y,node_6_z,node_7_x,node_7_y,node_7_z,node_8_x,node_8_y,node_8_z,node_9_x,node_9_y,node_9_z,node_10_x,node_10_y,node_10_z,node_11_x,node_11_y,node_11_z,node_12_x,node_12_y,node_12_z,node_13_x,node_13_y,node_13_z,node_14_x,node_14_y,node_14_z,node_15_x,node_15_y,node_15_z,node_16_x,node_16_y,node_16_z,node_17_x,node_17_y,node_17_z,node_18_x,node_18_y,node_18_z,node_19_x,node_19_y,node_19_z
1778147854853553150,1778147854.8535533,0,robot_b_base,-0.4871289749844268,-0.13055273498883524,0.7259867280518568,-0.505839455318335,-0.12329941535275168,0.7138164591309436,-0.5216847123724941,-0.11737540167280491,0.6991038323991375,-0.5348575035433248,-0.11273340696064582,0.6820677195312129,-0.5452281841080298,-0.10947911733528493,0.6638212031697519,-0.5540215579567819,-0.10726180129719498,0.6430867819347006,-0.561130928184153,-0.10610750768673882,0.6209670170921974,-0.5669583571814077,-0.10585478399928139,0.5978130419776085,-0.5716706241683442,-0.10630418379096107,0.5749679333366619,-0.5759436091371686,-0.10739007224825114,0.5507640615741806,-0.5797481009229074,-0.10902397891538584,0.5264437118508951,-0.5831777258770734,-0.11108513013214383,0.5021111927025536,-0.5861759475038318,-0.11332618877584821,0.4788483310973489,-0.5890612770339442,-0.11578855806404675,0.45471163467830766,-0.5917879491656364,-0.11822811295484548,0.43079907119791516,-0.5944819599706075,-0.1205011622096761,0.40719369758151946,-0.5971708563463147,-0.12243305805683347,0.38493944971933963,-0.6002572099719635,-0.1241027562821354,0.3621758574121849,-0.6038377053203523,-0.12530613080527186,0.3399310001673349,-0.6079555033860683,-0.12587357926917786,0.31912304304517325
1778147854859506722,1778147854.8595068,0,robot_b_base,-0.4929917802478681,-0.1309188300528492,0.7261318902369363,-0.5116900149357214,-0.12366495604332073,0.713967780475805,-0.5275226089215932,-0.11774036252648412,0.699261058653698,-0.5406819908408634,-0.11309777477360394,0.6822306934558433,-0.5510387973894116,-0.10984291802554447,0.6639896105970543,-0.5598163316061723,-0.1076250234213536,0.6432608148472845,-0.5669082660394138,-0.10647016756278815,0.6211466153730216,-0.5727165957802329,-0.10621688077670932,0.5979980955224901,-0.577409056309625,-0.10666571417958404,0.5751580498322783,-0.5816599873515002,-0.10775096189136835,0.550959221043561,-0.5854412423126136,-0.10938416376404181,0.5266436189935753,-0.5888466149883489,-0.11144453401435961,0.5023155423359037,-0.5918208021237473,-0.1136847648879441,0.47905665845830625,-0.594680432538091,-0.11614619489019506,0.45492382683685106,-0.5973810052008806,-0.11858475358144782,0.4310148489199073,-0.6000487552360534,-0.1208567743691169,0.40741280329101787,-0.6027125424019752,-0.1227876767760192,0.3851615276109464,-0.6057729340720059,-0.12445634675396433,0.362400835887856,-0.6093278246462228,-0.12565870624479802,0.34015870477767024,-0.6134214454758997,-0.12622518847946762,0.3193532271801466
1778147854864901150,1778147854.8649013,0,robot_b_base,-0.5000824263914712,-0.13122282208838154,0.7272454043273092,-0.5187545963706907,-0.12396356008719533,0.7150788157373553,-0.5345609258528995,-0.11803367632604245,0.7003694894563166,-0.5476931677074126,-0.11338578835530977,0.6833362883273639,-0.5580225400741624,-0.1101257707763088,0.6650921799963825,-0.5667694662500593,-0.10790236243062468,0.6443598332656346,-0.5738284724156021,-0.10674184444301416,0.6222416312631236,-0.5796015063779896,-0.10648274931748858,0.5990886415268677,-0.5842580908049322,-0.10692589812246434,0.5762438937008958,-0.5884698142206042,-0.10800513007465695,0.5520397663897786,-0.5922104764507509,-0.10963227597809244,0.5277185222595944,-0.5955741571528506,-0.11168657589996867,0.5033845045857575,-0.5985076178930191,-0.11392099737429984,0.48011969297951873,-0.6013242580033278,-0.1163764052337728,0.4559804906364493,-0.603981669430513,-0.11880902406591265,0.4320650209719802,-0.6066064179463748,-0.12107523249130103,0.40845643484173805,-0.6092294319860792,-0.12300072592288636,0.3861989045503176,-0.6122479721801914,-0.1246639510521863,0.3634317558005483,-0.615761861517962,-0.12586108035655608,0.34118328096177397,-0.6198170036016138,-0.1264227335208019,0.3203718450859989
1778147854872190172,1778147854.8721902,0,robot_b_base,-0.5072801158640237,-0.13056832186942202,0.728354928823232,-0.5259339712309234,-0.12331574848004545,0.7161832117876274,-0.5417215763876995,-0.11739247267911757,0.7014686768395277,-0.5548342032734803,-0.11275130438137171,0.6844299953036584,-0.5651434895482111,-0.10949799054954334,0.666180223171738,-0.5738677268644885,-0.10728195603012047,0.645441412229513,-0.5809020317320351,-0.10612922173296846,0.6233161020975353,-0.5866482900381174,-0.10587825709246246,0.6001553468757777,-0.5912773773719235,-0.10632940925715773,0.5773025809398283,-0.5954587607347765,-0.10741706297248521,0.5530895763698076,-0.59916772691708,-0.10905256897147542,0.5287590447285827,-0.6024985797270542,-0.11111509949086484,0.5044154075374564,-0.6053997227897263,-0.11335724701055239,0.48114113296839406,-0.6081819941329094,-0.11582051563899132,0.45699187232751537,-0.6108046499502569,-0.11826077141783276,0.4330662398579913,-0.6133945331970404,-0.12053438756292922,0.40944748103839607,-0.6159842793892456,-0.12246676366023046,0.3871802799293607,-0.6189684736580691,-0.12413694718798218,0.36440320038327284,-0.6224485360720093,-0.1253408174613707,0.342145012170091,-0.6264717814341583,-0.12590874024665755,0.3213244946533828
1778147854875603963,1778147854.8756042,0,robot_b_base,-0.5147582338210908,-0.13067953515274255,0.7291570230808749,-0.5334163196007625,-0.12341870772431385,0.7169904586029012,-0.5492071652802972,-0.11748736903869073,0.7022807848993362,-0.5623221580408109,-0.11283813658674913,0.6852467495462218,-0.5726329046937916,-0.10957695161801773,0.6670012735099398,-0.5813577561416158,-0.1073524488844626,0.6462667930578119,-0.5883916260506881,-0.1061909270785083,0.6241456341044399,-0.5941362750894289,-0.10593084556790933,0.6009887955371621,-0.5987626305024732,-0.10637298372494386,0.578139502516436,-0.6029398840183204,-0.10745101637180854,0.553929770028624,-0.6066434322726602,-0.10907676955312673,0.5296021123928288,-0.6099676228646063,-0.11112948140173518,0.5052609458906479,-0.6128612827318689,-0.11336222388979389,0.4819886744169047,-0.6156347007581808,-0.11581576671974536,0.45784113961527084,-0.6182475647852155,-0.11824647092162544,0.4339168953569179,-0.6208268690776076,-0.12051078436741314,0.4102992387869498,-0.623405884204675,-0.12243453407739557,0.38803287548537635,-0.6263783928303946,-0.12409605253274614,0.3652564815326755,-0.6298463710606015,-0.12529160896718627,0.3429988242399292,-0.6338577150718834,-0.12585187556857513,0.32217869794186027
1778147854879754444,1778147854.8797545,0,robot_b_base,-0.5229656341034683,-0.1301331636414439,0.7297623880536648,-0.541652774976346,-0.12286348139496106,0.7176122068856793,-0.5574710087803968,-0.11692356847046292,0.7029183759827418,-0.5706125110245407,-0.1122658226356048,0.6859000090133349,-0.5809483701068654,-0.10899636997397799,0.6676696575705348,-0.5896994158048243,-0.10676299866103511,0.6469512395608756,-0.5967595090173516,-0.10559228302447732,0.6248464617566247,-0.6025302302747161,-0.10532265611400426,0.6017062308542487,-0.6071811349705483,-0.10575533861683928,0.5788729053348207,-0.6113831787970749,-0.10682325396033787,0.5546796765297158,-0.6151103619910561,-0.10843872313071601,0.5303681682992081,-0.6184568723015347,-0.11048105145106024,0.5060427029250698,-0.6213705805872093,-0.11270382513720767,0.4827850007331954,-0.6241634138121241,-0.11514704412780341,0.4586521113804295,-0.6267940779749768,-0.11756760775932606,0.43474190345247665,-0.6293895345420873,-0.11982206252339922,0.411137644578356,-0.6319824858301915,-0.12173670569797757,0.3888835157200003,-0.6349679648425861,-0.12338913614605829,0.3661192592979075,-0.6384473923134036,-0.12457604779820719,0.3438731243570058,-0.6424683936606679,-0.1251284256739369,0.32306351344695694
1778147854883418516,1778147854.8834188,0,robot_b_base,-0.5299167333706718,-0.1308173465544985,0.7288436643843935,-0.5486578921449636,-0.12352863417610005,0.7167203471007612,-0.5645279805294032,-0.11757009948890051,0.7020527464127926,-0.5777206101231437,-0.11289368747096973,0.6850606056280305,-0.5881058425322608,-0.10960595680305962,0.6668558754857749,-0.5969094750611367,-0.10735286297385715,0.6461650288290793,-0.604023456067127,-0.10616165446606429,0.6240887870155601,-0.6098491422423942,-0.10587080101803825,0.6009779485519767,-0.614553240701754,-0.10628260183224791,0.5781733490703536,-0.618810637018621,-0.10732840997794457,0.5540103281162913,-0.6225923651563676,-0.10892169422551479,0.5297289366439605,-0.6259922465977885,-0.11094190503653156,0.5054333186667593,-0.6289557116432345,-0.11314367132388214,0.48220382229708925,-0.6317986944388814,-0.11556531778488732,0.45809979242109433,-0.6344774156712898,-0.1179648202843887,0.43421772483307863,-0.637118607555067,-0.12019886222616016,0.4106407693782473,-0.6397530547805547,-0.12209464403853965,0.38841192980443373,-0.6427793200085574,-0.12372816949203047,0.36567308315878133,-0.6462970140183782,-0.1248969505173092,0.3434513592052777,-0.6503524757344147,-0.1254326110517966,0.3226642736426571
1778147854888918367,1778147854.8889184,0,robot_b_base,-0.5374725634128992,-0.13093385393404855,0.7281004022275926,-0.5563055093482232,-0.12362701264504006,0.7160154904606303,-0.5722641899973422,-0.11765080146817153,0.7013853377297041,-0.5855446572552037,-0.1129567287847355,0.6844306217361728,-0.5960152115600129,-0.10965175292015494,0.6662624701517843,-0.6049103129870722,-0.10738009298636664,0.6456110367327199,-0.6121187294798981,-0.10616962936358398,0.6235756663863651,-0.6180415351710118,-0.10585886934956235,0.6005070279924819,-0.6228404323728756,-0.10625112779435308,0.5777437785038599,-0.6271973571701209,-0.10727628389242538,0.5536243475317354,-0.6310780638882423,-0.1088488694410924,0.5293865136005477,-0.6345756767127659,-0.11084846472005128,0.5051341466132288,-0.6376310740201128,-0.11303066918416027,0.4819455989933927,-0.640567573839797,-0.11543224661727636,0.4578835347091199,-0.6433367743685793,-0.11781217229329977,0.43404242925985975,-0.6460649113987533,-0.12002725061812525,0.4105052408789472,-0.6487790055004645,-0.12190552186416381,0.3883132459552803,-0.6518843219285376,-0.12352152164955998,0.36561142301547084,-0.6554769235784756,-0.12467353435227768,0.343425255479825,-0.6596004995302379,-0.12519378050097885,0.3226709466891386
1778147854895289969,1778147854.89529,0,robot_b_base,-0.5436690071955648,-0.13092475830709094,0.7269250310793478,-0.5626070991785419,-0.12360532393989898,0.7148783046183028,-0.5786674990106359,-0.11761685735712424,0.7002854315055215,-0.5920490478243455,-0.11291056403679356,0.6833680266662537,-0.602618021697856,-0.10959367238915274,0.6652364039387708,-0.6116189054997266,-0.1073091970721608,0.6446244053307061,-0.6189368498331997,-0.10608545101927014,0.6226300203795839,-0.6249726595444485,-0.10576096044759509,0.5996038063358641,-0.6298822441068811,-0.10613973124608733,0.5768822409709504,-0.6343558087034553,-0.10715061794127623,0.5528068800630583,-0.6383529862341468,-0.10870888685849756,0.5286132198026243,-0.6419661026331054,-0.11069421551511094,0.5044048572496652,-0.6451306212170067,-0.11286288304421976,0.48125810166595284,-0.6481785983694437,-0.1152505863684542,0.4572389935680171,-0.6510561151677572,-0.11761700702639177,0.43343993494634503,-0.6538887801365356,-0.11981904448897762,0.40994367080457134,-0.6566990298461743,-0.1216853208767339,0.3877896740755887,-0.6599001857620592,-0.12328936194765028,0.36512610763726744,-0.6635839871820145,-0.12442996709162113,0.3429767466552341,-0.6677908290893352,-0.12493974500826355,0.3222564176811648
1778147854899912549,1778147854.8999126,0,robot_b_base,-0.5485592376231434,-0.13044300062117875,0.725743207069035,-0.5676134271949862,-0.1231164486833034,0.7137418509457577,-0.5837862935509243,-0.11712112102878747,0.6991932397685254,-0.597279728782363,-0.11240805732741199,0.6823201122141904,-0.6079577503703392,-0.10908464076313418,0.6642318244329328,-0.6170759580900748,-0.10679323656234185,0.6436665974688595,-0.624515519162097,-0.10556240643460613,0.6217208125584115,-0.6306769593532542,-0.10523069463340029,0.5987448999706604,-0.6357097612679616,-0.10560247186312066,0.5760727581623877,-0.6403133638400176,-0.10660606787373184,0.5520496633362805,-0.6444406088537242,-0.10815713519992665,0.527908411288682,-0.6481829367286538,-0.11013540085370044,0.5037522707923427,-0.6514697334596371,-0.11229747151297009,0.4806551189892185,-0.6546428387953769,-0.11467852223235131,0.45668699641705923,-0.6576421522306138,-0.11703857432219833,0.4329378391681936,-0.6605925692583589,-0.11923456442830571,0.40949013468458556,-0.6635113312969756,-0.12109536696506829,0.38738121603559633,-0.6668208448430802,-0.12269402779863714,0.36476302197288135,-0.6706079824228509,-0.12382956508623277,0.3426572969744576,-0.674909400032278,-0.1243347444801377,0.3219772416609612
