time_ns,time_s,qd0,qd1,qd2,qd3,qd4,qd5
1778147624808986674,1778147624.8089867,-0.0007768237846903503,0.0003404699091333896,0.0001087535492843017,0.0009911066154018044,0.0004297418927308172,-0.0006823784788139164
1778147624815362159,1778147624.8153622,-0.0005042662960477173,0.0006953064003027976,-6.942517939023674e-05,0.0008281551417894661,0.00037310124025680125,-0.0004952472518198192
1778147624836388399,1778147624.8363883,-0.001434620819054544,1.077987690223381e-05,-4.937779522151686e-05,0.0013581587700173259,0.0011465619318187237,-0.0011004178086295724
1778147624856702633,1778147624.8567028,-0.0009483284084126353,5.337121803533629e-12,-5.8123066992266104e-05,0.001349903759546578,0.0011668704682961106,-0.0013857482699677348
1778147624874216604,1778147624.8742168,-0.0012369529576972127,-0.00029023655224591494,-3.245988045819104e-05,0.0020428290590643883,0.0005593076348304749,-0.0012750070309266448
1778147624893861858,1778147624.893862,-0.0005494846263900399,-0.00025734747759997845,-8.82796928218643e-17,0.0010204960126429796,0.0001652618811931461,-0.0004024031513836235
1778147624913847329,1778147624.9138474,-0.00025200608070008457,-0.0009779715910553932,-1.667941392489917e-35,0.0003121417830698192,0.00013668260362464935,-0.0007606018334627151
1778147624933837035,1778147624.9338372,-0.00021236880274955183,-0.0011556243989616632,-0.0,0.00018429287592880428,7.28322847862728e-05,-0.0003394735394977033
1778147624953860432,1778147624.9538605,-0.00018149917013943195,-0.0009276015916839242,0.0007745789480395615,0.00015689543215557933,7.775804988341406e-05,-0.00024316927010659128
1778147624973866825,1778147624.973867,-0.0001273119996767491,-0.0008326225797645748,0.0011214750120416284,0.00012157300807302818,0.00010061927605420351,-0.0002005119458772242
1778147624993998227,1778147624.9939985,-0.00011884480773005635,-0.0008558742119930685,0.0012051645899191499,9.923242032527924e-05,0.00014257602742873132,-0.00010905565432040021
1778147625013890168,1778147625.0138903,-0.0001136341379606165,-0.0007226113812066615,0.0015722104581072927,8.382803935091943e-05,0.00010827193182194605,-8.778205665294081e-05
1778147625033832189,1778147625.0338323,-9.634646266931668e-05,-0.0005006088176742196,0.0019667029846459627,8.465757127851248e-05,8.72737800818868e-05,-8.814431203063577e-05
1778147625053920430,1778147625.0539205,-8.356610487680882e-05,-0.0002320449275430292,0.0022564632818102837,7.462930079782382e-05,7.309728971449658e-05,-8.840492955641821e-05
1778147625074132304,1778147625.0741324,-7.377882866421714e-05,-0.00018000201089307666,0.0003825513122137636,2.0033011707831783e-12,6.288290751399472e-05,-7.752621604595333e-05
1778147625094794625,1778147625.0947948,-3.420829841616069e-08,-0.00013703112199436873,0.00019285544112790376,1.5657921238210792e-32,5.517318277270533e-05,-6.856188065285096e-06
1778147625113916815,1778147625.113917,-1.693654575309414e-14,-0.0001273325178772211,0.00011249775707256049,0.0,4.848071739615989e-07,-5.358836899755308e-26
1778147625133821785,1778147625.1338217,-8.385294659337699e-21,-0.00012119059101678431,7.940986688481644e-05,0.0,3.789281802649464e-27,-0.0
1778147625154012024,1778147625.154012,-4.151565017814247e-27,-0.00010372876567998901,8.181182784028351e-05,0.0,0.0,0.0
1778147625177791709,1778147625.1777918,-1.1267922652941518e-34,-6.656691402895376e-05,6.428430788218975e-05,0.0,0.0,0.0
1778147625193954536,1778147625.1939547,-1.0176509707619687e-39,-5.951842831564136e-05,5.6249416957143694e-05,0.0,0.0,0.0
1778147625213902162,1778147625.2139022,-0.0,-5.256540316622704e-05,4.864773654844612e-05,0.0,0.0,0.0
