time_ns,time_s,x,y,z,rx,ry,rz
1778147013890232382,1778147013.8902323,-0.4074819957811192,-0.03391795141697379,0.8092507862058005,-1.8082486595077603,-1.7491158953852137,0.7558603306464634
1778147013908738478,1778147013.9087386,-0.4075006717939879,-0.03391119029321091,0.8092053410332753,-1.8082710389407368,-1.7491014642140874,0.7557373769352598
1778147013927073558,1778147013.9270737,-0.4074921921272598,-0.033902808702033174,0.8091965860201752,-1.8082946441565462,-1.749106739518734,0.7557438245176383
1778147013946943821,1778147013.9469438,-0.40749616872747185,-0.03392070437910229,0.8092293449395651,-1.8082499558842713,-1.7490752177303126,0.7558661042224153
1778147013965895004,1778147013.965895,-0.40750126261711733,-0.03392235390508917,0.8092296907206973,-1.808235361765326,-1.7490975162768845,0.7558235802369
1778147013987708686,1778147013.9877088,-0.4075160465889037,-0.03393852119614211,0.8091976769681123,-1.8082724585168115,-1.7491578834019272,0.7557075797538513
1778147014005772896,1778147014.0057728,-0.4074854912069923,-0.03390565644670619,0.8092147790734527,-1.8082377039061557,-1.7490934738346715,0.7557944714327295
1778147014025896224,1778147014.0258963,-0.4075017493658173,-0.033914332031027075,0.8092128881496874,-1.8082898362409618,-1.7490762183988886,0.7557813892124253
1778147014045788793,1778147014.0457888,-0.40750981575873896,-0.033932824885691076,0.8092189175742766,-1.8082215483978106,-1.7491280672699925,0.7557768288230131
1778147014065713267,1778147014.0657132,-0.4075159493377213,-0.03392597242417222,0.8092004040412187,-1.8082677069226532,-1.7490832553424445,0.7557539402904587
1778147014085702865,1778147014.0857031,-0.40751945277429147,-0.033937018714255314,0.8091752939125433,-1.8082914089995206,-1.7491047024965278,0.7557660880872578
1778147014105818984,1778147014.105819,-0.4074942485642707,-0.03392424012592951,0.8092044717380606,-1.808271676692047,-1.7491513533363117,0.7557377095853738
1778147014125760370,1778147014.1257603,-0.40750890290472935,-0.03391399280333493,0.8091803181765984,-1.80826140873622,-1.7491300077368477,0.7557047263710689
1778147014145747004,1778147014.145747,-0.4074955515794972,-0.0339193761210259,0.8092256575660273,-1.808276006855644,-1.7490850944685936,0.7558575303290045
1778147014165741174,1778147014.1657412,-0.40750687272077335,-0.03390859777290269,0.8092317257969154,-1.8082693960355858,-1.7490334047486498,0.7558106677525587
1778147014185740977,1778147014.1857412,-0.4075070522139919,-0.03392056193939714,0.8092173599903209,-1.8083017171147724,-1.7490643562543142,0.7558335579903348
1778147014205705945,1778147014.2057061,-0.407481356758352,-0.03389870570801054,0.8092491333262266,-1.8082337008903953,-1.7490869872701773,0.7558479809193084
1778147014225701040,1778147014.2257013,-0.4074980516390898,-0.033914278781199396,0.8092109163885646,-1.8082957834461877,-1.7490772618478667,0.7557999040154992
1778147014245792742,1778147014.2457929,-0.4075065561136272,-0.0339157468545397,0.8092220078346608,-1.8082974448954925,-1.7490543240053253,0.7558000532185812
1778147014265697364,1778147014.2656975,-0.40749723573293894,-0.03393040494777758,0.809209371678793,-1.808272937618552,-1.7491518060014057,0.7558086078646431
1778147014285787375,1778147014.2857876,-0.40749107931562445,-0.03389014007579685,0.8092248100938364,-1.8083429196569762,-1.74903397549707,0.7558477941116821
1778147014305785794,1778147014.305786,-0.40750084644948187,-0.033932585010404165,0.8092014867852411,-1.808266874798957,-1.7491875810957074,0.7557347315070339
1778147014325711990,1778147014.325712,-0.4074969878253148,-0.03390794176239898,0.8091900805378027,-1.808304625235217,-1.749064498822192,0.7557616675230476
1778147014345769436,1778147014.3457696,-0.40750455067582625,-0.03392460217374045,0.809216104186003,-1.8083083407125182,-1.7491006210446391,0.7557602400801828
1778147014365759359,1778147014.3657594,-0.40749546871328385,-0.03391903742252748,0.8092315024690617,-1.8082558263186426,-1.749121256595732,0.7558588769025257
1778147014385942708,1778147014.385943,-0.40751053270796,-0.03392609323923944,0.809189186618024,-1.8083073400225096,-1.7491030490859871,0.7557797118905318
1778147014405732181,1778147014.4057322,-0.4075065166419808,-0.03392690802531798,0.8092053535930571,-1.8082513341262991,-1.7491607812815695,0.755776559933464
1778147014425736185,1778147014.4257362,-0.40750555753993317,-0.033920912468448014,0.8092146715077759,-1.8082324023818814,-1.7491107602376836,0.7557668673853992
1778147014445725329,1778147014.4457254,-0.40751488739835806,-0.03394178442165535,0.8092041480488332,-1.8082139834059479,-1.7491673217751043,0.7557519625173552
1778147014465728782,1778147014.4657288,-0.4075107140356694,-0.03394029118179389,0.8091855958795887,-1.8083133595184837,-1.749181910043204,0.7557782002974776
1778147014485771169,1778147014.4857714,-0.40749941695748015,-0.03393289127463261,0.8091967158770087,-1.8082831347983301,-1.7491914136650486,0.7557647423212219
1778147014505817328,1778147014.5058174,-0.4075138072454428,-0.03394672013166754,0.8091715371765215,-1.808260169075119,-1.7492487789717637,0.7557049025010588
1778147014525853809,1778147014.5258539,-0.4075148679986978,-0.03394325248208863,0.8091972960276965,-1.808251147348697,-1.7491215873766024,0.7557719038721009
1778147014546300373,1778147014.5463004,-0.4075097138234067,-0.033946180215593195,0.8091893632022473,-1.8082668911528992,-1.7492140531504807,0.7557326674163032
1778147014565747958,1778147014.565748,-0.40751115060031784,-0.033927949343595915,0.8091839846643534,-1.8082697364858895,-1.749180570647607,0.7557243352132459
1778147014585821569,1778147014.5858219,-0.40751913818388485,-0.03393625180920745,0.8091879632242039,-1.8082949931245207,-1.7491221587705195,0.7557180382149814
1778147014605752653,1778147014.6057527,-0.4074998006897662,-0.03390479267269922,0.8092075472802547,-1.8082730889261867,-1.749123980901589,0.7557706858483045
1778147014625733446,1778147014.6257334,-0.4075151771610573,-0.03392044570043674,0.8091993362330949,-1.8082950236192763,-1.7491070558139699,0.7558007750129175
1778147014645758820,1778147014.6457589,-0.40751970786019326,-0.03391581007731922,0.8091912273328126,-1.8082761685186457,-1.7491209074693972,0.7556669972263304
1778147014665898141,1778147014.6658983,-0.4074985724240888,-0.03391165294323974,0.8091921923897132,-1.808287754898983,-1.7490690388915795,0.7557378188478799
1778147014689905336,1778147014.6899054,-0.40751688655151924,-0.03392344200673962,0.8092141539074982,-1.8083091595121743,-1.7490625675466989,0.7557952311490798
1778147014705714659,1778147014.7057147,-0.4075019167734398,-0.03391433496469349,0.8092183462980594,-1.8082976676005051,-1.7491298542163585,0.7557765974807247
1778147014725745963,1778147014.725746,-0.4074992886047998,-0.033914748066223084,0.8092091499547315,-1.80826785715649,-1.7490834674447395,0.7558082604418384
1778147014745706141,1778147014.7457063,-0.40751069899315634,-0.03392327073668372,0.8091918830842453,-1.8083272136432154,-1.7491100491688316,0.7557419773590505
1778147014765739209,1778147014.7657394,-0.407508713970316,-0.03393514230395357,0.8091707941161844,-1.8083029924813274,-1.7491834882484434,0.755773124103867
1778147014785834735,1778147014.7858348,-0.4075177029815898,-0.03393781045805255,0.8092137696363333,-1.8082687686806875,-1.7490688494835436,0.7558187062639419
1778147014805772673,1778147014.805773,-0.40750719301033167,-0.03392410683179752,0.8091713214183959,-1.8082763444591659,-1.7491498729148969,0.7557333695220608
1778147014825629698,1778147014.8256297,-0.4074979186098946,-0.03391944318635337,0.8091965853206227,-1.8083138612229477,-1.7490860120446272,0.7558074107844607
1778147014845749111,1778147014.8457491,-0.4074978430066518,-0.03392420109884201,0.8092076926049342,-1.8082871463700305,-1.7491441357659543,0.7558163516513282
1778147014866004503,1778147014.8660047,-0.4075166015557232,-0.03392727864821336,0.8092186896163701,-1.8082839122644956,-1.7491297950571227,0.755715488181248
1778147014885745006,1778147014.885745,-0.4075030186395735,-0.03392258469374167,0.8092072410792885,-1.8082260477664738,-1.7491190962155247,0.7557705160476389
1778147014905987835,1778147014.905988,-0.40750778935869575,-0.03392981645593047,0.8092045907865536,-1.8082794169279677,-1.7491163707824182,0.7558144965827531
1778147014927506053,1778147014.9275062,-0.40749499925014504,-0.03391659080932518,0.8092005670267755,-1.808307693079349,-1.749100898588052,0.7558004270501124
1778147014945691068,1778147014.9456913,-0.4075234322835819,-0.03392994746299298,0.8092122348307017,-1.808335660875387,-1.7490680200230677,0.7557860777213808
1778147014965725904,1778147014.9657261,-0.40752505175920417,-0.03392336329114059,0.8092086600007122,-1.8083205032699354,-1.7490606952482033,0.7557475702319333
1778147014985868131,1778147014.9858682,-0.40750847088259845,-0.0339315287686467,0.809213439351126,-1.8082249324627269,-1.7491437540468713,0.7557917834321077
1778147015005762156,1778147015.005762,-0.4075257919657397,-0.03391223944485368,0.809187246574449,-1.8083315442904768,-1.7490898911866795,0.7556691713055573
1778147015025859538,1778147015.0258596,-0.4075204578760488,-0.033924122350377235,0.8091956311403049,-1.8082956633792673,-1.7490693592617244,0.7557305402789365
1778147015045764248,1778147015.0457644,-0.40752246945941295,-0.03392401771456486,0.8091772396850867,-1.8083209517681964,-1.7490765070407197,0.7556569349189246
1778147015065772161,1778147015.0657723,-0.40750388533500587,-0.03391060376880013,0.8092062953018268,-1.8083298426067134,-1.7490747252823806,0.755771923923498
1778147015085936047,1778147015.0859363,-0.4074969973473103,-0.03391117628949925,0.8092105107755164,-1.8082182708485197,-1.749078533006354,0.7557833714114475
1778147015109147351,1778147015.1091475,-0.4075166827035256,-0.03393373118820248,0.8092003969857735,-1.8082696699898173,-1.7491771460536454,0.7556795911542978
1778147015125757359,1778147015.1257575,-0.40750482944164024,-0.03392662339966755,0.8092099648273738,-1.8082306459942197,-1.7491106695441432,0.7558088515487811
1778147015145768783,1778147015.145769,-0.4075079308739744,-0.03391526636712069,0.8091706168341812,-1.8082526808277732,-1.7491084001677142,0.7556874741798502
1778147015165712735,1778147015.1657128,-0.407508837058821,-0.033925547408951706,0.8092048729715384,-1.8082890695295213,-1.7491652302676077,0.755747833791398
1778147015185722870,1778147015.185723,-0.407518908881096,-0.03393681525260554,0.8091932625410656,-1.8082677693266294,-1.7491254941943128,0.7557287521350019
1778147015205751499,1778147015.2057517,-0.4074822620862807,-0.033921030879171664,0.8092334686600733,-1.8082358058409118,-1.7491934788658892,0.7558089696732383
1778147015225799774,1778147015.2257998,-0.40751414291319965,-0.03393159646385904,0.8091712749119713,-1.8082516718305996,-1.7491797643454814,0.7556935645422369
1778147015249496345,1778147015.2494965,-0.40751685842985985,-0.033934776773948475,0.8091889220058696,-1.8082655694198129,-1.7491600316874703,0.7557622429486717
1778147015265736998,1778147015.265737,-0.4075190781576645,-0.033930856897083674,0.8091809429771544,-1.8082960451333359,-1.7491558961502442,0.7556833205923317
1778147015285653857,1778147015.2856538,-0.4074987024062777,-0.03392465344967665,0.8092147525575918,-1.8082241966136205,-1.7491403726173906,0.7558096981885413
1778147015305751778,1778147015.3057518,-0.4075080547214415,-0.033915037478623726,0.8091950031416844,-1.8082618998694333,-1.7490878208563936,0.7557675615833253
1778147015325694400,1778147015.3256946,-0.40750496102214173,-0.03391814874779704,0.8092191110405951,-1.8082056058508973,-1.749125078885015,0.755751804515118
1778147015345807621,1778147015.3458078,-0.4075065019858835,-0.03389782782060973,0.8092059878450246,-1.8083419971405086,-1.7490155218333812,0.7557527134645463
1778147015365787238,1778147015.3657873,-0.407495659032251,-0.033909771989191415,0.8092028501332977,-1.8083005369738074,-1.749042731464034,0.7558102574033975
1778147015385780705,1778147015.3857808,-0.40749416682448053,-0.0339148022859811,0.8092448303438904,-1.8082724474293232,-1.7490760430446448,0.7558663353335623
1778147015405767074,1778147015.4057672,-0.4074998017965316,-0.03392888513511594,0.8092169815773531,-1.8082918642242565,-1.7490979819167614,0.7558548618396513
1778147015425648289,1778147015.4256485,-0.40749639872503196,-0.03390967579504136,0.8092419087077537,-1.8083184828791936,-1.7490400845166825,0.7558104381672113
1778147015445749537,1778147015.4457495,-0.4075052240269249,-0.0339178646896658,0.809209966806662,-1.8082784093894837,-1.749108554285442,0.7557770973764935
1778147015465848891,1778147015.465849,-0.4074845851949984,-0.03389274626767112,0.8092131168447111,-1.8082849090202713,-1.749093781429303,0.7557813973888302
1778147015485845299,1778147015.4858453,-0.4075081154650392,-0.03392387640036877,0.8092020736937716,-1.8083068030175575,-1.7491393536281614,0.7557569596642647
1778147015505701639,1778147015.5057018,-0.40751869847115463,-0.03391765662940846,0.809162760153519,-1.808275717832489,-1.7491331091792857,0.7556100796156104
1778147015525656921,1778147015.525657,-0.4075102548019084,-0.03391234586193234,0.8092118571420925,-1.8082976688486077,-1.7490656379006628,0.755770912776176
1778147015545733713,1778147015.5457337,-0.4075036715373383,-0.0339217021180897,0.8091898298168594,-1.80827069098435,-1.7491072004678674,0.7557736001558716
1778147015565667102,1778147015.5656672,-0.4075171730574628,-0.03392446946956519,0.8092085183439622,-1.8083150466455324,-1.7490656066470442,0.7557436198897621
1778147015585750643,1778147015.5857506,-0.4075009550035045,-0.03392580291387732,0.8092114515688091,-1.8082818103860507,-1.7491017493114747,0.7558100134382435
1778147015605828417,1778147015.6058285,-0.4075021079868575,-0.03391367965057068,0.8092040544203751,-1.8082902350748786,-1.7490610944190885,0.7557652985177453
1778147015625741689,1778147015.6257417,-0.40750957912916363,-0.033917777640506436,0.809209797681889,-1.808263575710614,-1.749110286251818,0.7557523828384692
