time_ns,time_s,q0,q1,q2,q3,q4,q5
1778147013890334021,1778147013.8903341,-2.49069053331484,-0.9281379741481324,-1.9527868032455444,-1.16166444242511,1.1475577354431152,0.5366554260253906
1778147013908788283,1778147013.9087884,-2.4907315413104456,-0.9281581801227112,-1.9528429508209229,-1.161660985355713,1.1475334167480469,0.5366435647010803
1778147013927144117,1778147013.9271443,-2.4907434622394007,-0.9281380337527771,-1.9528629779815674,-1.1616644722274323,1.1475577354431152,0.5366513133049011
1778147013947007144,1778147013.9470074,-2.4907026926623743,-0.9281540674022217,-1.9528266191482544,-1.161591337328293,1.1475369930267334,0.5366554260253906
1778147013966085658,1778147013.9660857,-2.490706745778219,-0.9281666439822693,-1.9528146982192993,-1.1616159838489075,1.1475334167480469,0.5366353392601013
1778147013987758102,1778147013.9877582,-2.490699116383688,-0.9281950753978272,-1.9528306722640991,-1.161681280737259,1.147545337677002,0.5366595387458801
1778147014005858883,1778147014.005859,-2.4907150904284876,-0.9281261128238221,-1.9528511762619019,-1.1616363686374207,1.1475250720977783,0.5366315841674805
1778147014026020229,1778147014.0260205,-2.490727249776022,-0.9281624120524903,-1.9528348445892334,-1.1616398257068177,1.1475369930267334,0.5366679430007935
1778147014045889913,1778147014.0458899,-2.490695063267843,-0.9281831544688721,-1.9528188705444336,-1.1616311830333252,1.1475250720977783,0.536627471446991
1778147014065797046,1778147014.0657973,-2.4907191435443323,-0.9281867307475586,-1.9528470039367676,-1.1616159838489075,1.1475168466567993,0.5366554260253906
1778147014085800295,1778147014.0858004,-2.4907072226153772,-0.9281872671893616,-1.9528872966766357,-1.161586956386902,1.1475410461425781,0.5366796851158142
1778147014105933539,1778147014.1059337,-2.490695063267843,-0.9281504911235352,-1.9528388977050781,-1.161697433595993,1.1475493907928467,0.5366636514663696
1778147014125857807,1778147014.1258578,-2.4907432238208216,-0.9281665843776246,-1.9528789520263672,-1.1616363686374207,1.1475454568862915,0.536619246006012
1778147014145821034,1778147014.145821,-2.490711037312643,-0.9281540674022217,-1.9528270959854126,-1.1616075199893494,1.1475577354431152,0.5366673469543457
1778147014165829756,1778147014.1658297,-2.4907432238208216,-0.9281748098186036,-1.9528106451034546,-1.1616075199893494,1.1475167274475098,0.5366472005844116
1778147014185820258,1778147014.1858203,-2.490727249776022,-0.9281747502139588,-1.9528306722640991,-1.1615998309901734,1.1475536823272705,0.5366796255111694
