time_ns,time_s,qd0,qd1,qd2,qd3,qd4,qd5
1778147013890397593,1778147013.8903978,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147013908830140,1778147013.9088304,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147013927187789,1778147013.927188,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147013947060496,1778147013.9470606,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147013966178939,1778147013.966179,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147013987798476,1778147013.9877987,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014005917952,1778147014.005918,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014026092916,1778147014.026093,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014045965299,1778147014.0459654,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014065843914,1778147014.065844,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014085861834,1778147014.085862,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014106002730,1778147014.1060028,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014125925182,1778147014.1259253,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014145863825,1778147014.145864,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014165902471,1778147014.1659026,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014185866261,1778147014.1858664,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014205820137,1778147014.2058203,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014225851079,1778147014.2258513,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014246000621,1778147014.2460008,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014265851186,1778147014.2658513,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014285907444,1778147014.2859075,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014305955941,1778147014.305956,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014325821522,1778147014.3258216,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014345915413,1778147014.3459156,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014365878732,1778147014.3658788,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014386228003,1778147014.386228,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014405904190,1778147014.4059043,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014425854166,1778147014.4258542,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014445888022,1778147014.445888,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014465872028,1778147014.4658723,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014485922523,1778147014.4859226,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014506015757,1778147014.5060158,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014526012178,1778147014.5260122,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014546397230,1778147014.5463972,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014565865922,1778147014.565866,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014586004922,1778147014.5860052,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014605894714,1778147014.6058948,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014625877149,1778147014.6258774,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014645927711,1778147014.645928,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014666147954,1778147014.666148,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014690041027,1778147014.6900413,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014705835414,1778147014.7058356,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014725858452,1778147014.7258587,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014745818602,1778147014.7458189,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014765874104,1778147014.7658744,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014786030917,1778147014.786031,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014805933388,1778147014.8059335,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014825743443,1778147014.8257434,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014845863735,1778147014.8458638,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014866128418,1778147014.8661284,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014885898482,1778147014.8858986,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014906172975,1778147014.906173,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014927600914,1778147014.927601,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014945806426,1778147014.9458065,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014965847726,1778147014.965848,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147014986050151,1778147014.9860501,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015005900782,1778147015.0059009,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015026057949,1778147015.0260582,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015045910679,1778147015.0459108,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015065958274,1778147015.0659585,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015086188669,1778147015.0861886,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015109278092,1778147015.1092782,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015125903869,1778147015.125904,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015145946540,1778147015.1459467,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015165828996,1778147015.1658292,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015185840503,1778147015.1858406,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015205903685,1778147015.2059038,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015225973345,1778147015.2259734,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015249617432,1778147015.2496176,-0.0,0.0,-0.0,0.0,0.0,0.0
1778147015265867280,1778147015.2658675,-0.0,0.0,-0.0,0.0,0.0,0.0
