time_ns,time_s,msg_stamp_ns,frame_id,x,y,z,qx,qy,qz,qw
1778147877786850563,1778147877.7868507,1778147877285040771,robot_b_base,-0.6097520520443911,-0.12558294476384368,0.31933590959929264,0.9959290474988409,0.012467055816504766,-0.08755619641543205,0.017430356754294093
1778147877790089334,1778147877.7900894,1778147877331505859,robot_b_base,-0.6159757450489253,-0.12620755085920088,0.3201293718685302,0.9960009001764382,0.012509688149540694,-0.08673123739227216,0.017418582334152433
1778147877794512086,1778147877.7945123,1778147877377971191,robot_b_base,-0.622048941906268,-0.12599247356145715,0.3204711766656663,0.9960880648804614,0.012565120143825225,-0.08571254006539408,0.017436892900034764
1778147877798760041,1778147877.79876,1778147877424436279,robot_b_base,-0.6289147601156753,-0.12571068876065639,0.32054438687788356,0.9961467259977035,0.01260961195163858,-0.08500428720743411,0.01752053443367208
1778147877802603136,1778147877.802603,1778147877470901367,robot_b_base,-0.6369172173493987,-0.125490739579445,0.3210079848213273,0.996164097713576,0.012610163953904234,-0.08482241094057652,0.017413580728289153
1778147877805536997,1778147877.8055372,1778147877517366455,robot_b_base,-0.6450343896309155,-0.12502195455825493,0.32143545360008596,0.996114640536363,0.01255219017687853,-0.08546663690298924,0.017132408101851657
1778147877809969521,1778147877.8099694,1778147877563831543,robot_b_base,-0.6538807707511816,-0.12492961752545162,0.32130073116906055,0.9960304509065094,0.012473619041027832,-0.08650672516714557,0.016862271372818295
1778147877815609480,1778147877.8156097,1778147877610296631,robot_b_base,-0.6626025468597532,-0.12480654543310699,0.32139464781883886,0.9958752322550253,0.012347555696977843,-0.08835211341968091,0.0165518489476402
1778147877820990800,1778147877.8209908,1778147877656761719,robot_b_base,-0.6705006147156856,-0.12451307006172829,0.3210288259951135,0.9956842140639718,0.012216462990777945,-0.09052528564388085,0.016397455744709032
1778147877827092580,1778147877.8270926,1778147877703226807,robot_b_base,-0.6777719037083445,-0.12398458472589013,0.32120759377513475,0.9954621689948461,0.012078667538097231,-0.0929639837161128,0.016336267083113722
1778147877832774320,1778147877.8327744,1778147877749691650,robot_b_base,-0.6818884158281,-0.12388130574688216,0.32142866079300314,0.9952089251425973,0.0119210570168939,-0.09567497980133226,0.01622904667967682
1778147877858621602,1778147877.8586218,1778147877796156738,robot_b_base,-0.6846269240176039,-0.12361504827215153,0.3214591201101641,0.9949614160060969,0.011777776045837197,-0.09823840313724459,0.01619508566204714
1778147877901758171,1778147877.9017584,1778147877842621826,robot_b_base,-0.6851590550538861,-0.12383536029140407,0.3209623862885749,0.9947686393055836,0.011673661621778016,-0.10018030643686053,0.01621684558337034
1778147877954773147,1778147877.9547734,1778147877889086670,robot_b_base,-0.6839942924163247,-0.12392896162398526,0.3201571624092374,0.9946351177225687,0.011609852801357717,-0.10149198873027616,0.016296322729866516
1778147877995172584,1778147877.9951727,1778147877935551758,robot_b_base,-0.6805601828160146,-0.12417779185023203,0.31922562186802056,0.994593454941385,0.011604507159343089,-0.10187537391508045,0.016450014924333883
1778147878045340716,1778147878.0453408,1778147877982016602,robot_b_base,-0.6758851643052566,-0.12474340969895081,0.31879095241326316,0.9946683329938215,0.01167899166862688,-0.10108237030276067,0.016758964970184188
1778147878090178807,1778147878.090179,1778147878028481445,robot_b_base,-0.6700167434524872,-0.12513448165960273,0.3184594528728664,0.994835188925788,0.011768959207154733,-0.09941673140896853,0.01675565546700307
1778147878145315506,1778147878.1453156,1778147878074946533,robot_b_base,-0.6642262371531821,-0.1251773155486905,0.3184540834010411,0.9950677476139722,0.011896172916441324,-0.09704767873456593,0.01674535101545654
1778147878183017095,1778147878.1830173,1778147878121411377,robot_b_base,-0.6594917079821712,-0.12530925826117145,0.3180493364049821,0.9953398704480225,0.01205013540280182,-0.09419629121971027,0.01674500683008363
1778147878229799254,1778147878.2297993,1778147878167876221,robot_b_base,-0.65509900252293,-0.12553508418371084,0.31756492838322625,0.9955885100121651,0.012188688423161738,-0.09152352010870017,0.016685319091714765
1778147878273693177,1778147878.2736933,1778147878214341064,robot_b_base,-0.6522649585375748,-0.12531277896695958,0.3175026008374312,0.9958103859869459,0.012304847610567049,-0.0890918856197333,0.016519739783995374
1778147878366336892,1778147878.3663368,1778147878307271240,robot_b_base,-0.6529608164778286,-0.12498707135385667,0.3179374423544241,0.9959845965835358,0.01239872340873335,-0.08713462868677227,0.016386320812907425
1778147878417202424,1778147878.4172025,1778147878353736572,robot_b_base,-0.6549573590486546,-0.12470868414145331,0.3184838420554919,0.9960989819975564,0.012447790073673363,-0.08585432993875745,0.01615254210582588
1778147878463478955,1778147878.463479,1778147878400201660,robot_b_base,-0.6584664828792255,-0.12430073912955375,0.3192133082222902,0.9961325157546381,0.01244722999228638,-0.08550710241940943,0.01592523022412599
1778147878509041860,1778147878.509042,1778147878446666992,robot_b_base,-0.6627864941990849,-0.12414213530180429,0.3195708468061698,0.996075465611958,0.012388865947291983,-0.08621946996692528,0.01569668133980706
1778147878557382593,1778147878.5573828,1778147878493132080,robot_b_base,-0.6675180122416481,-0.12382212091621225,0.31970313240748477,0.9959298355555847,0.012277930685652378,-0.08793588521504743,0.015501456697687342
1778147878601235419,1778147878.6012356,1778147878539597168,robot_b_base,-0.672163457311352,-0.12376647069647917,0.3198990304768287,0.9957380272640572,0.012150424535831967,-0.09011402897377825,0.015414604308769692
1778147878647149571,1778147878.6471496,1778147878586062256,robot_b_base,-0.6759803714984447,-0.12371064831455059,0.32021159257725595,0.9955128179352696,0.012009740108153689,-0.09259417833901494,0.015372495140222932
1778147878692969906,1778147878.69297,1778147878632527588,robot_b_base,-0.6785769241080991,-0.12354095014508115,0.31993490497644106,0.9953069450799841,0.01188765931187646,-0.09479729987779506,0.015370119307069989
1778147878738362734,1778147878.7383628,1778147878678992676,robot_b_base,-0.6800699115192314,-0.12376574881236391,0.31965694409050127,0.9951128778087467,0.011798968065805137,-0.09678827441358988,0.015594060017078979
1778147878784043297,1778147878.7840433,1778147878725457764,robot_b_base,-0.67969102547389,-0.1239755452724578,0.3191706929901648,0.9949696253494977,0.011738542487230733,-0.09822618272461013,0.015788232311028695
1778147878831815999,1778147878.831816,1778147878771922852,robot_b_base,-0.6776494220586925,-0.12431221743330745,0.3186394510130056,0.9949242769257778,0.01174207864351799,-0.09864079976799307,0.016056132597189205
1778147878878712044,1778147878.8787122,1778147878818387695,robot_b_base,-0.6744018416388,-0.12473491693565097,0.31818873053789587,0.9949520945133074,0.011811394118637849,-0.09826883350845714,0.016554665609546774
1778147878929099226,1778147878.9290993,1778147878864852783,robot_b_base,-0.6699593107309991,-0.125280269062095,0.317623737145763,0.9950819159537974,0.011915163183956492,-0.0968819813860839,0.01684906854179323
1778147878970340011,1778147878.9703403,1778147878911317871,robot_b_base,-0.6658016018060411,-0.12552987472558796,0.31671365198838164,0.9952886927900636,0.01204210805707186,-0.09470044542870627,0.016947898789899402
1778147879020384054,1778147879.020384,1778147878957782715,robot_b_base,-0.6614851062899578,-0.12550461776666932,0.31626962589750235,0.995513274396749,0.012182533484078042,-0.0922712760957905,0.01705631805012955
1778147879067191801,1778147879.0671918,1778147879004247803,robot_b_base,-0.6577127536490062,-0.12576467188214668,0.31600653691875225,0.995743981989804,0.012329417433371173,-0.0897065345759076,0.01716523962035567
1778147879117633906,1778147879.1176338,1778147879050712646,robot_b_base,-0.6552276107873513,-0.12554717788504755,0.3162048227498608,0.9959345663338696,0.012451096522968767,-0.08753451193711344,0.017234239080221588
1778147879207843323,1778147879.2078435,1778147879143642578,robot_b_base,-0.6551168402354,-0.1251633057049787,0.31632169729325244,0.9960793763955628,0.01252476482103219,-0.08589188660531563,0.01707600658773474
1778147879249175286,1778147879.2491753,1778147879190107422,robot_b_base,-0.6565208614570035,-0.12489019929544976,0.31669823489793136,0.9961613827297887,0.012550387730474443,-0.08498500263514594,0.0168088266334754
