time_ns,time_s,fx,fy,fz,tx,ty,tz
1778147816259860421,1778147816.2598605,-0.05525255708827731,0.05803747975468967,-0.47548459506051394,-0.07225795969117543,-0.010472092243017204,-0.09639432476514635
1778147816264310390,1778147816.2643104,0.17471249347565176,-0.5651647906261361,-0.9545482395967528,-0.07027214777736329,-0.026923841616004727,-0.10495172834866998
1778147816282394761,1778147816.282395,-0.10091166226486475,0.44674311780346926,0.6455210493264224,-0.0643258988640355,0.012076234010373658,-0.08971719802760197
1778147816300411646,1778147816.3004117,0.2647354059461313,-0.5047691727898153,-0.16365601816403938,-0.0783502486577094,-0.009975536316808822,-0.09898509728492227
1778147816320661902,1778147816.320662,-0.3635455613231612,0.30517354658355245,-0.7917238464112517,-0.07864940296026893,-0.005927537849941898,-0.08471832381856192
1778147816340373432,1778147816.3403735,0.41098387725440005,-0.23913656329981386,-0.47504915076337423,-0.0700011816278113,-0.003230434698813815,-0.09933242183925824
1778147816360541912,1778147816.360542,0.39528527332052177,-0.3575565899786959,0.03377586400354757,-0.08277133223693324,-0.011392601264304582,-0.0931490826849269
1778147816381671227,1778147816.3816712,-0.4266449224151336,0.3385628688413639,-0.3733204271390308,-0.0741994563123608,-0.012855488232825993,-0.0966468197394282
1778147816400451871,1778147816.400452,0.4183066344552413,-0.21524662566366096,-0.5024650109185723,-0.07181261998124513,-0.007271196641253603,-0.09257163477720945
1778147816420561066,1778147816.4205613,0.2047129928070947,-0.5192320801340093,-0.40190019386877346,-0.08106143497975493,-0.016728673528859227,-0.09610044795427411
1778147816440485601,1778147816.4404857,-0.25671970385443244,0.31601425334613886,-0.10286014447668426,-0.07694739822234335,-0.01839093207103231,-0.09831839161436563
1778147816460751975,1778147816.460752,-0.2517840257978612,-0.316555547137612,-0.04631864370540059,-0.08747631670661135,-0.024457012601790992,-0.09355595955505915
1778147816480411983,1778147816.480412,0.11597410467993503,-0.6013418800853586,-0.08668758850494505,-0.08179914555994629,-0.021147845974782118,-0.09739275440284459
1778147816500403885,1778147816.5004041,-0.09969326864987768,0.6578526618293431,0.2582295579198014,-0.08117538599183685,-0.01614771457761461,-0.08879651288053284
1778147816520458886,1778147816.5204592,-0.07290619797187717,-0.18688561283279484,-0.05909608165983295,-0.0731262812249723,-0.016313193981795936,-0.10410857888145195
1778147816540422536,1778147816.5404227,0.10723662788401156,-0.13426797853910633,-0.2660192829899867,-0.08748787990952235,-0.01294229051364311,-0.0904491950736257
1778147816560544914,1778147816.5605452,-0.36836988829703554,0.4764406593683164,-0.10079802712980587,-0.0780605849615773,-0.027057340220362058,-0.10364405520568155
1778147816580460191,1778147816.5804603,0.3734145764374365,-0.4142657471092294,-0.5006121259106515,-0.08011515135514787,0.00025934865402768657,-0.11256592103328228
1778147816600538909,1778147816.600539,0.27998759558060793,-0.01692486001696588,0.07415471279048788,-0.0814896544050612,-0.025108651032175043,-0.0906283417825145
1778147816622147578,1778147816.6221478,-0.5163992490949461,0.4350401060832577,-0.23459966437574414,-0.0809188175722603,-0.014191503910677014,-0.08773847186007039
1778147816640423508,1778147816.6404235,0.13958960777018847,0.14887004491773984,0.008033033538988127,-0.0771380218493564,-0.014854436564147228,-0.09628639826998744
1778147816660307525,1778147816.6603076,0.2695309835020145,-0.4709871370241059,0.08290882482604489,-0.07947564897190759,-0.022177797058453318,-0.10682015430229552
1778147816680377389,1778147816.6803775,-0.12690807265665413,-0.030888951843810672,0.11634017858095919,-0.07722724773465288,-0.019492973313496306,-0.10742399315180476
1778147816700516325,1778147816.7005165,-0.062157100125430256,0.26591305326754405,-0.09724769983829162,-0.08698611644163856,-0.018207927136674726,-0.09899997821202051
1778147816723251862,1778147816.723252,0.3117868958889271,0.3272588620074081,-0.07066539046377233,-0.09170028877194739,-0.009480701885321801,-0.08171313776559228
1778147816740442502,1778147816.7404428,-0.058079195322557856,0.1793205695385933,-0.08840023211415383,-0.08647121481016264,-0.01396976705692507,-0.09757941113188487
1778147816763406845,1778147816.763407,0.029147103651418343,-0.006142553475625116,-0.10493715758100869,-0.0782680078690946,-0.00960424448963137,-0.08868551581971373
1778147816780403826,1778147816.7804039,-0.03981463284247026,-0.4264838706177105,0.2282154324515147,-0.08015112020187512,-0.0272137525058422,-0.09112390269860855
1778147816800415070,1778147816.800415,0.05553057238060371,0.5152867804989465,-0.1608583779161132,-0.07697831434485557,-0.0038633717260192968,-0.08894018174738232
1778147816820410781,1778147816.820411,-0.4185429939301253,0.6328434019293485,0.014055784546027433,-0.0862537012472995,-0.02580034923729892,-0.08356518271762292
1778147816840544722,1778147816.840545,-0.2199461735510801,-0.21340874333298412,-0.36858449473943766,-0.0829554583870562,-0.021863038844242056,-0.09170780598437867
1778147816860341895,1778147816.860342,-0.16888329272299213,-0.6057782004642772,-0.323330635035568,-0.07600290273182819,-0.014886968230587463,-0.11361510864378596
1778147816880471297,1778147816.8804715,-0.35415076295825343,-0.5998032338466177,0.12427111282676624,-0.0774560815464148,-0.026557798222337975,-0.10361235117505455
